algorithm,strat,bench,region,num_threads,size,obs,min,mean,max,stddev,ci,speedup
4. OpenMP,omp,1,spiral,32,32,10,0.0035235537800000004,0.003995664480000001,0.004378499780000001,0.0003206709917057773,0.00019875393981370296,0.9803281680948346
4. OpenMP,omp,1,spiral,32,64,10,0.0050418957800000015,0.005168617580000001,0.005481791780000002,0.00012866809794782536,7.974931333648593e-05,1.5866172749425964
4. OpenMP,omp,1,spiral,32,128,10,0.008557905780000001,0.008914422280000004,0.009724639780000002,0.00031290678187503217,0.00019394163270356442,2.724916565204492
4. OpenMP,omp,1,spiral,32,256,10,0.01926243478,0.020733005480000004,0.022265494780000002,0.001234756532187806,0.0007653100275069575,4.1932930188952025
4. OpenMP,omp,1,spiral,32,512,10,0.07172758378,0.07689046918,0.10712570478000001,0.010701460158954079,0.006632833724801117,4.223440996045694
4. OpenMP,omp,1,spiral,32,1024,10,0.25203636578,0.25782774948,0.26786328878000004,0.005629948845601914,0.0034894784466181867,4.9997321670761234
4. OpenMP,omp,1,spiral,32,2048,10,0.9726310197800001,0.98930320618,1.00480385478,0.013125392621101913,0.008135202629863295,5.244007819576477
4. OpenMP,omp,1,spiral,32,4096,10,3.80349745278,3.8731922300799995,3.9634810627799997,0.04610550995256567,0.028576491130199177,5.230556139456461
4. OpenMP,omp,1,spiral,32,8192,10,15.24147132378,15.348223590179998,15.556205051780001,0.09921476664115894,0.061493949461198544,5.258724312889257
3. Pthreads,pth,1,elephant,1,16,10,0.002692115780000001,0.002954074580000001,0.0034875507800000006,0.00026267445770628115,0.00016280731562227766,1.0674170724559024
3. Pthreads,pth,1,elephant,1,32,10,0.003789950780000001,0.004241697480000001,0.005073301780000001,0.0003934482740056323,0.00024386176671468436,0.8961992829342464
3. Pthreads,pth,1,elephant,1,64,10,0.006949832780000002,0.00717079038,0.007977491780000002,0.000311761459082706,0.00019323175428231294,1.086192194618301
3. Pthreads,pth,1,elephant,1,128,10,0.021267410780000003,0.02148777358,0.021898759780000002,0.00019407083597307689,0.00012028635034122111,0.929346210097212
3. Pthreads,pth,1,elephant,1,256,10,0.07848971678000001,0.07915449818000002,0.07998135178,0.0005095651098842794,0.0003158317272241072,0.9293505022635214
3. Pthreads,pth,1,elephant,1,512,10,0.26704628278000003,0.26975328598,0.27389637978000003,0.0019878838366209606,0.0012321031669210293,1.044244618250489
3. Pthreads,pth,1,elephant,1,1024,10,1.05508660978,1.06645867708,1.08613535678,0.009841533954654971,0.006099845941452419,1.0099491384786248
3. Pthreads,pth,1,elephant,1,2048,10,4.1933691277800005,4.2177535079799995,4.24116283678,0.019859246020382627,0.01230888820745658,1.0153577867785413
3. Pthreads,pth,1,elephant,1,4096,10,16.778760322780002,16.807967536980005,16.89865518378,0.034575170147471086,0.02142991247815822,0.9955754638878028
3. Pthreads,pth,1,elephant,1,8192,10,67.12650649678,67.29673197128,68.27116350178,0.3461124674760174,0.21452272986581228,0.9916763395155791
3. Pthreads,pth,1,elephant,2,16,10,0.002636834780000001,0.0028609665800000007,0.0034087207800000004,0.00022168890435312464,0.00013740420646964576,1.1021553561803576
3. Pthreads,pth,1,elephant,2,32,10,0.0031715257800000005,0.003421891080000001,0.0038555397800000006,0.00021861770478117472,0.00013550065725357176,1.110908018732145
3. Pthreads,pth,1,elephant,2,64,10,0.004847089780000001,0.005269241780000001,0.0058624107800000005,0.0003501774427001259,0.0002170422276125182,1.4781740647323265
3. Pthreads,pth,1,elephant,2,128,10,0.012962088780000002,0.013638833280000002,0.014366587780000002,0.0003788704515513479,0.00023482633874759182,1.4641707637326584
3. Pthreads,pth,1,elephant,2,256,10,0.042140687780000005,0.04254614608000001,0.04333859578,0.0004192085575189536,0.0002598281558531452,1.7289996725362626
3. Pthreads,pth,1,elephant,2,512,10,0.15368132478000002,0.15781987047999999,0.15969058278,0.0022785610464039732,0.0014122667680971414,1.7848729458670891
3. Pthreads,pth,1,elephant,2,1024,10,0.58810007278,0.60240848538,0.60660447378,0.0072344673849371625,0.004483969340542295,1.7879379993470434
3. Pthreads,pth,1,elephant,2,2048,10,2.1585003117799997,2.16584863348,2.1771196537799997,0.0071999273706491555,0.004462561217891582,1.9772983212400226
3. Pthreads,pth,1,elephant,2,4096,10,8.62119205078,8.68780344228,8.82792475178,0.06623599507769158,0.04105349507650853,1.9261025170302983
3. Pthreads,pth,1,elephant,2,8192,10,34.41955987878,34.87265083078,35.29042510478,0.31568117003899365,0.1956612163030245,1.9137225084058023
3. Pthreads,pth,1,elephant,4,16,10,0.0028048797800000005,0.002948273480000001,0.0037625147800000006,0.0002930447537231775,0.00018163102011315636,1.0695173502018542
3. Pthreads,pth,1,elephant,4,32,10,0.0028898817800000003,0.0032297113800000008,0.003860345780000001,0.0003161896579225127,0.00019597638035843019,1.1770111297065806
3. Pthreads,pth,1,elephant,4,64,10,0.0036608627800000008,0.004206107880000001,0.005064221780000001,0.00043394801244681894,0.00026896376466526887,1.8517966638554213
3. Pthreads,pth,1,elephant,4,128,10,0.009234415780000001,0.009580730580000002,0.01047801878,0.0003905076676626065,0.00024203916002048798,2.084348450595925
3. Pthreads,pth,1,elephant,4,256,10,0.027996828780000003,0.030773377780000007,0.04508566078,0.0051270058546367325,0.0031777511512233645,2.3904516808619243
3. Pthreads,pth,1,elephant,4,512,10,0.10320539278,0.10540164688,0.10834297078,0.0016988587046769868,0.0010529635341981944,2.6725238692019953
3. Pthreads,pth,1,elephant,4,1024,10,0.41613951878000005,0.4204033731800001,0.42635617278000004,0.0036263510809410172,0.0022476356861926977,2.5619894864136628
3. Pthreads,pth,1,elephant,4,2048,10,1.38603393678,1.4242253323799998,1.44716847378,0.019798227738561675,0.012271068684561584,3.0069180555042765
3. Pthreads,pth,1,elephant,4,4096,10,5.7575880037800005,5.87066569638,6.27618317678,0.15853359697370825,0.0982601414108346,2.850375228819171
3. Pthreads,pth,1,elephant,4,8192,10,22.60920335378,22.83347398268,23.00885251378,0.1337125965242443,0.08287592594685825,2.9227517842121635
3. Pthreads,pth,1,elephant,8,16,10,0.002438326780000001,0.0029728994800000005,0.0035118947800000006,0.0003251317643148013,0.00020151875532115006,1.0606580078516479
3. Pthreads,pth,1,elephant,8,32,10,0.002514566780000001,0.0031672998800000005,0.003690418780000001,0.0003330547309415442,0.00020642946091288777,1.2002040804548004
3. Pthreads,pth,1,elephant,8,64,10,0.003352224780000001,0.0038112138800000007,0.004281909780000001,0.00029089323919245325,0.0001802974975912931,2.043668181645056
3. Pthreads,pth,1,elephant,8,128,10,0.006665925780000002,0.006801293680000002,0.007068214780000002,0.00013317678272252342,8.254382511188065e-05,2.936144486558915
3. Pthreads,pth,1,elephant,8,256,10,0.017518875780000002,0.020240550880000003,0.027717689780000002,0.003538370428026735,0.0021931047125580768,3.6344007174571527
3. Pthreads,pth,1,elephant,8,512,10,0.06641140278,0.07120792048,0.07873583078,0.004448474930343282,0.0027571933272325547,3.9558579332353507
3. Pthreads,pth,1,elephant,8,1024,10,0.25669972678,0.26798091288000003,0.28620213578000003,0.009225325090793591,0.005717915730711849,4.019200511576374
3. Pthreads,pth,1,elephant,8,2048,10,0.8732722497800001,0.9202268910799999,0.94167320578,0.02326313690704518,0.014418641636731148,4.653774964143815
3. Pthreads,pth,1,elephant,8,4096,10,3.57589297878,3.66144380018,3.7629037737799997,0.06849542803903133,0.04245390613465391,4.570219014919021
3. Pthreads,pth,1,elephant,8,8192,10,14.12763984178,14.489061025480002,14.76541114678,0.1868310410110942,0.11579907893421555,4.6059973593374455
3. Pthreads,pth,1,elephant,16,16,10,0.0035540057800000006,0.004402030780000001,0.005141088780000001,0.0005536168383887503,0.00034313527142463944,0.7163124924810271
3. Pthreads,pth,1,elephant,16,32,10,0.0026508887800000005,0.0030674404800000005,0.0040993187800000015,0.00045842973678417864,0.00028413769461633776,1.2392762841807448
3. Pthreads,pth,1,elephant,16,64,10,0.0036385447800000004,0.00416549318,0.004647747780000001,0.0003228716026703702,0.0002001178926205455,1.8698521887869233
3. Pthreads,pth,1,elephant,16,128,10,0.007043095780000001,0.00739984428,0.007859268780000001,0.0002603185190374156,0.0001613470897069067,2.6986488072421984
3. Pthreads,pth,1,elephant,16,256,10,0.01747243978,0.01815614418,0.01969085078,0.0007013760784843211,0.0004347173972560246,4.051646203659967
3. Pthreads,pth,1,elephant,16,512,10,0.059495176780000006,0.06430072958,0.07017482978,0.00327501350424265,0.0020298744000783932,4.380796594065645
3. Pthreads,pth,1,elephant,16,1024,10,0.21791186078000002,0.24232844778,0.29430629678000003,0.02087360174773153,0.0129375924008442,4.444666039035691
3. Pthreads,pth,1,elephant,16,2048,10,0.8036121417800001,0.8612484735800001,0.9079415567800001,0.03842201520961173,0.02381421174977695,4.9724661330760584
3. Pthreads,pth,1,elephant,16,4096,10,3.27184010978,3.3619305481800006,3.49929081078,0.06817720583884787,0.0422566699715504,4.977378276508069
3. Pthreads,pth,1,elephant,16,8192,10,13.17749318578,13.26285930668,13.47001545178,0.10071007256765306,0.06242074967638662,5.031839310021732
3. Pthreads,pth,1,elephant,32,16,10,0.0030392947800000005,0.003273378980000001,0.003890341780000001,0.0002622750045043054,0.0001625597319626471,0.9632950108331176
3. Pthreads,pth,1,elephant,32,32,10,0.0028809337800000004,0.003249339080000001,0.00402983078,0.0004225947261457877,0.0002619269249119765,1.169901369604061
3. Pthreads,pth,1,elephant,32,64,10,0.00402348978,0.0041953117800000005,0.004461070780000001,0.00015503584850536282,9.609221444973659e-05,1.8565620264818556
3. Pthreads,pth,1,elephant,32,128,10,0.0068737677800000015,0.007164280380000001,0.007761878780000002,0.00025501344132905816,0.00015805896847727788,2.7873812694081073
3. Pthreads,pth,1,elephant,32,256,10,0.017419909780000003,0.018617886680000004,0.019868144780000003,0.0008795048777178176,0.0005451227708559706,3.9511612625198334
3. Pthreads,pth,1,elephant,32,512,10,0.05992420778,0.061613015680000015,0.06499607178000001,0.0015646483768214142,0.0009697791111760505,4.571897902271288
3. Pthreads,pth,1,elephant,32,1024,10,0.21262007578,0.22082400078000003,0.22896552378,0.005283234777429386,0.003274582840777563,4.877499811322818
3. Pthreads,pth,1,elephant,32,2048,10,0.82160550878,0.8455528559800001,0.8640708567800001,0.014063305756095813,0.008716527213641356,5.064767786842288
3. Pthreads,pth,1,elephant,32,4096,10,3.2326211837799996,3.3101900407800002,3.39387304478,0.0543802104055619,0.03370520360606983,5.05517806273653
3. Pthreads,pth,1,elephant,32,8192,10,13.039699046780001,13.17482356038,13.42851933378,0.12704970343085206,0.07874622202251866,5.065462661931475
3. Pthreads,pth,1,full,1,16,10,0.0023456697800000007,0.0027136457800000006,0.003317134780000001,0.0003800089939523361,0.0002355320146387525,0.9668947065007134
3. Pthreads,pth,1,full,1,32,10,0.0024923317800000003,0.0029986676800000003,0.0036364927800000006,0.0003364074749613596,0.00020850751318565635,0.9413215938619782
3. Pthreads,pth,1,full,1,64,10,0.002997945780000001,0.0033634097800000007,0.0040244747800000005,0.00030772013214680054,0.00019072691389649023,0.9572924949989292
3. Pthreads,pth,1,full,1,128,10,0.0059650477800000015,0.006292501780000001,0.006701362780000001,0.00020664558733520324,0.00012808026198288743,0.8140883100393815
3. Pthreads,pth,1,full,1,256,10,0.01592877078,0.016181921180000003,0.016520474780000002,0.0001959762617156594,0.00012146734545196129,0.8325757918442658
3. Pthreads,pth,1,full,1,512,10,0.052780152780000006,0.053284730880000006,0.05392165778000001,0.0003990120133748272,0.00024731020810266844,0.9147508626771542
3. Pthreads,pth,1,full,1,1024,10,0.18708664578,0.20464883398000003,0.22445203878,0.011002026900697905,0.006819126921391114,0.867082025775635
3. Pthreads,pth,1,full,1,2048,10,0.62572266478,0.66702576388,0.80846150878,0.0611581582879291,0.03790621922742812,0.9343700213536646
3. Pthreads,pth,1,full,1,4096,10,2.48012235078,2.51374417458,2.7006961287799998,0.06796408489252002,0.04212457624048305,0.9560716714307453
